name,category,country,city,genre,stream_url,logo_url,source_url
Ipe,Brasil • Português • Hard Rock,Brazil,Brasília,"death metal,doujin,edm,idm,jpop,metal,symphonic metal",http://152.53.178.148:6670/,,https://0x45.pw/
Rádio Cidade,Brasil • Português • Hard Rock,Brazil,Rio de Janeiro,"brazilian music,contemporary,pop,rock",http://playerservices.streamtheworld.com/api/livestream-redirect/RADIOCIDADEAAC.aac,https://radiocidade.fm/favicon.ico,https://radiocidade.fm/
Progressive Earth Radio,Brasil • Português • Hard Rock,Brazil,São Paulo,progressive rock,http://sv10.hdradios.net:6674/;,https://img.radios.com.br/radio/lg/radio170330_1608747125.jpg,http://www.progressiveworldradio.com/
Rádio Brasil 2000,Brasil • Português • Hard Rock,Brazil,Sao Paulo (Brazil),rock,https://stm11.srvstm.com:6798/stream,https://brasil2000fm.com.br/wp-content/uploads/2025/03/cropped-FAVICON-2-192x192.jpg,https://brasil2000fm.com.br/
Fan FM Aracaju,Brasil • Português • Hard Rock,Brazil,SE,"mpb,pop,rock",http://08.stmip.net:7114/,https://redefanfm.com.br/wp-content/uploads/2023/07/favicon.jpg,https://redefanfm.com.br/
Jovem pan são jose dos campos,Brasil • Português • Hard Rock,Brazil,"são jose dos campos, são paulo","2000s,2010s,90s,noticias,rock",https://r15.ciclano.io/proxy/radiomu1/stream,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlALeBErv6OLhaMLhA0hYXVdz6JhM7drb5_Q&s,https://radiosaovivo.net/jovem-pan-fm-sao-jose-dos-camp/
Progsky,Brasil • Português • Hard Rock,Brazil,Rio de Janeiro,progressive rock,https://cc4.streammaximum.com:20017/stream,https://www.progsky.com/wp-content/uploads/2024/08/LOGOBALANCE.png,https://www.progsky.com/
"Jovem pan 107,5 FM Belém",Brasil • Português • Hard Rock,Brazil,Pará,"jovem,pop rock,top 40",https://radio01.zas.media/8038/stream,https://www.radios.com.br/aovivo/radio-jovem-pan-1075-fm/266119,https://jovempan.com.br/afiliada/belem-fm#
Rádio Disney 91.3 FM,Brasil • Português • Hard Rock,Brazil,Sao Paulo (Brazil),"jovem,pop rock,sertanejo",https://playerservices.streamtheworld.com/api/livestream-redirect/DISNEY_BRA_SP.mp3,https://images.app.goo.gl/fNFY7gv7C3w9dwtWA,http://www.disney.com.br/radio/
Rádio Joli Beatles,Brasil • Português • Hard Rock,Brazil,São Paulo,classic rock,https://stream.zeno.fm/3hgez706e3quv?zs,https://img.radios.com.br/radio/lg/radio111501_1560523801.png,https://zeno.fm/JoliBeatles
Kero Rock,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"classic rock,rock",https://stm1.painelwshost.com.br:7012/,https://www.kerorock.com.br/public/60326-2023-05-11.png,https://www.kerorock.com.br/
Jovem Pan FM Campinas - 89.9,Brasil • Português • Hard Rock,Brazil,Sao Paulo (Brazil),"pop,rock",https://paineldj5.com.br:20028/stream,,https://jovempan.com.br/afiliada/campinas-fm
Beatles 4 Ever (MP3),Brasil • Português • Hard Rock,Brazil,,"classic rock,the beatles",http://stream.zeno.fm/ygdk890mug0uv,https://i.ibb.co/cSxC9QGC/image-2.webp,http://www.beatles4ever.br/
RST Radio Rock,Brasil • Português • Hard Rock,Brazil,Parana,"hard rock,progressive rock",https://servidor37-1.brlogic.com:8100/live,https://public-rf-upload.minhawebradio.net/113/fbplayer/7eb6b35b003a5c561f99df3588822931.jpg,https://rstradiorock.com.br/
Rock na Teia,Brasil • Português • Hard Rock,Brazil,Sao Paulo (Brazil),rock,http://s19.maxcast.com.br:8182/live,https://static.wixstatic.com/media/1cf649_94d7175b59cc43d4ba0c0c9b9a025dac%7emv2.png/v1/fill/w_180%2ch_180%2clg_1%2cusm_0.66_1.00_0.01/1cf649_94d7175b59cc43d4ba0c0c9b9a025dac%7emv2.png,https://www.rocknateia.com.br/
Ouro Verde FM Easy 105.5,Brasil • Português • Hard Rock,Brazil,Parana,"brasil,brazilian music,classic hits,curitiba,ouro verde,paraná,pop,pop rock",https://8522.brasilstream.com.br/stream,https://ouroverdefm.com.br/wp-content/uploads/2022/11/favicon-150x150.png,https://ouroverdefm.com.br/
Rádio Cidade - Classic Rock,Brasil • Português • Hard Rock,Brazil,Rio de Janeiro,classic rock,http://playerservices.streamtheworld.com/api/livestream-redirect/CLASSICROCK_S01AAC_64.aac,https://radiocidade.fm/player/img/classic-rock.svg,https://radiocidade.fm/player/index.php
Metal Heads,Brasil • Português • Hard Rock,Brazil,,"hard rock,metal,rock",https://hts01.brascast.com:9194/live,https://spaceks.net/sites/metalheads.com.br/images/logo/logo.png,https://metalheads.com.br/
Venenos do Rock,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"60's,70's,classic rock,obscure",https://stream.zeno.fm/dy417tqqmd0uv,,https://zeno.fm/venenosdorock/
Rádio Lost,Brasil • Português • Hard Rock,Brazil,Santa Catarina,"pop,reggae,rock",http://srv1.uaihost.audio:7026/,,https://www.radiolost.com.br/
Rádio Ziggy - Blues Rock (MP3),Brasil • Português • Hard Rock,Brazil,Minas Gerais,"blues rock,heavy metal",http://stream.zeno.fm/apph08p9hqzuv,https://i.ibb.co/KxjnmpNy/85131-v4.png,https://ziggywebradio.wixsite.com/radioziggy
Aquele Rock,Brasil • Português • Hard Rock,Brazil,São Paulo,,https://azura.servercast.com.br/listen/radio_leandro/radio.mp3?refresh=1744219941974,https://www.aquelerock.com/wp-content/uploads/2023/01/cropped-cropped-fav-32x32.jpg,https://www.aquelerock.com/
Radio Fox Rock,Brasil • Português • Hard Rock,Brazil,Sorocaba - SP (Brazil),"classic rock,hard rock,rock nacional",http://09.stmip.net:8422/stream,"https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=192,h=192,fit=crop,f=png/lmlCSC2fKUDUkNiK/logo-fox-87-7-fm-p5eve2j6xeu8b7ou3adhud11qrj8spjjyqnznyr600-YrD14kKjvxTVOVP3.png",https://radiofoxrock.com.br/
Lightness of Rock,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"blues,folk,progressive rock,psychedelic rock",https://stream.zeno.fm/n0dt87vrnd0uv,,https://zeno.fm/lightnessrock/
97 Rock Web Radio,Brasil • Português • Hard Rock,Brazil,SP ,"alternative,rock,rock-pop",http://euroticast5.euroti.com.br:8094/stream?1696889015855,,https://www.97rockwebradio.com/
ELEKTRA RADIO,Brasil • Português • Hard Rock,Brazil,Rio de Janeiro,"'synthpop',breaks,electro,freestyle,indie rock,miami bass,new retro wave",https://cast3.hoost.com.br:8952/stream,https://www.elektraradio.com/files/2026/01/logo_elektra_raio_03_mini-1.png,https://www.elektraradio.com/
Rádio Mundo Rock,Brasil • Português • Hard Rock,Brazil,,,https://servidor32-2.brlogic.com:7320/live?source=website,https://public-rf-upload.minhawebradio.net/161648/cover/1b01a8dd82b5d2d33e7c97c77ec0e8a3.png,https://radiomundorock.com/
Nova Onda FM,Brasil • Português • Hard Rock,Brazil,São Paulo,"music,oldies,pop music,pop rock",https://ice.fabricahost.com.br/novaondafm,https://novaondafm.com.br/wp-content/uploads/2023/04/Nova-Onda-logo-colorido-300x169.png,https://novaondafm.com.br/
Jovem Pan FM - Blumenau - SC,Brasil • Português • Hard Rock,Brazil,Santa Catarina,"brazilian pop,contemporary hits radio,dance,electronic dance music,eurodance,jovem,pop,pop rock,top 40",https://f108.fabricahost.com.br/jpblumenau?f=1768464027N01KF0AQ438AT4MFMBHEV2NP5QH&tid=01KF0AQ438FRZFWMDPREG5YT3S,https://jpimg.com.br/uploads/2024/02/avatar-blumenau-rgb-500x500.png,https://jovempan.com.br/afiliada/blumenau-fm
Rádio Manawa,Brasil • Português • Hard Rock,Brazil,,"eletrônica,mpb,rock",http://161.97.82.133:8000/radio.mp3,https://manawa.com.br/favicon.ico,https://manawa.com.br/
Rádio AMC+,Brasil • Português • Hard Rock,Brazil,,"anime,jpop,jrock",https://radioamc.com.br/stream/amcplus,https://radioamc.com.br/shared/amcpluslogo.png,https://radioamc.com.br/
Sonora FM - Farroupilha,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"adulta,pop-rock",https://casthttps1.suaradionanet.net/10318/stream,,https://www.radiosonorafm.com.br/
Elite Studio FM,Brasil • Português • Hard Rock,Brazil,Santa Catarina ,"flashback,pop,pop-rock,rock",https://stream.zeno.fm/jjgtqyoqkpvuv,,https://www.elitestudiofm.com.br/
Jovem Pan Porto Alegre,Brasil • Português • Hard Rock,Brazil,,"eletrônica,pop,rock",http://centova6.ciclanohost.com.br:9256/,https://firebasestorage.googleapis.com/v0/b/radiogalaxy-580f4.appspot.com/o/images%2FIMG_20230202_185333193.jpg?alt=media&token=15a4fdd0-fd97-4507-b2f2-584233d1f324,https://jovempan.com.br/afiliada/grandepoa-fm
"Rockett 97,7",Brasil • Português • Hard Rock,Brazil,Espírito Santo,rock,https://8817.brasilstream.com.br/stream?cc=1645359200316,,https://www.hfnews.com.br/
Rádio Amigos do Rock,Brasil • Português • Hard Rock,Brazil,São Paulo (SP),,https://stm25.srvaudio.com.br:11358/;,,https://radioamigosdorock.wixsite.com/radio-amigos-do-ro-1
Mundo Livre FM Maringá 102.5,Brasil • Português • Hard Rock,Brazil,Paraná(Brazil),"alternative rock,indie rock,rock",https://playerservices.streamtheworld.com/api/livestream-redirect/MUNDOLIVRE_MGAAAC.aac,https://mundolivrefm.com.br/favicon.png,https://mundolivrefm.com.br/
Geografia Rock 2,Brasil • Português • Hard Rock,Brazil,,geografiarock,https://stream.zeno.fm/63kdg03m2uhvv,,https://geografiarockoficial.blogspot.com/
Rádio C Brasil,Brasil • Português • Hard Rock,Brazil,,rock,https://stm5.painelcast.com:7578/stream,null,https://toligado.net.br/
Rádio Rapadura Rock Web,Brasil • Português • Hard Rock,Brazil,Sao Paulo,rock,https://stm35.srvstm.com:6806/;?type=http&amp;nocache=1,https://www.rapadurarockweb.com.br/admin/assets/img/logo.png,https://www.rapadurarockweb.com.br/
NuMetal 1.0 - JubsTones,Brasil • Português • Hard Rock,Brazil,São Paulo,,https://stream.zeno.fm/zg3ps1ckoeiuv,https://stream.zeno.fm/zg3ps1ckoeiuv,https://stream.zeno.fm/zg3ps1ckoeiuv
"FM Cultura 107,7",Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"jazz,mpb,public radio,rock",https://streaming.procergs.com.br:8443/fmcultura/sfmcultura/chunklist_w644085663.m3u8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAuOppGJXgt2O89-F2g79LhdFjkIUz2DJzfh7I5LHDDniy8rnEDzicRTc&s=10,https://fmcultura.com.br/inicial
Rádio Jovem Pan 91.1 FM,Brasil • Português • Hard Rock,Brazil,Sao Paulo,"pop rock,young",https://cast2.hoost.com.br:8039/stream,https://img.radios.com.br/radio/lg/radio24800_1675111116.jpg,https://jovempan.com.br/afiliada/sorocaba-fm
Mundial Rock,Brasil • Português • Hard Rock,Brazil,Sao Paulo (Brazil),,https://azura.mundialmusic.net/radio/8010/radio.mp3,http://img.sedoparking.com/templates/logos/sedo_logo.png,http://www.mundialrock.net/
OverRock Radio,Brasil • Português • Hard Rock,Brazil,,rock,http://streaming06.hstbr.net:8008/live,,https://overrock.mus.br/
Z-top,Brasil • Português • Hard Rock,Brazil,Minas Gerais,"chr,contemporary hits radio,dance,electronic dance music,eurodance,jovem,pop,pop rock,top 40",https://stream.zeno.fm/gzf0stmb2d0uv,https://cdn.onlineradiobox.com/img/l/2/95782.v7.png,https://radiorockfm.com.br/ztop
Radio ZTOP,Brasil • Português • Hard Rock,Brazil,Minas Gerais,"contemporary hits radio,dance,electronic dance music,eurodance,jovem,op,pop rock,top 40",https://stream.zeno.fm/bd0hmtmb2d0uv,https://images.zeno.fm/F19RKDqzPlicPWJRFtHsKsoDnxxlCIlPPZGOe78MIJc/rs:fit:170:170/g:ce:0:0/aHR0cHM6Ly9zdHJlYW0tdG9vbHMuemVub21lZGlhLmNvbS9jb250ZW50L3N0YXRpb25zL2FneHpmbnBsYm04dGMzUmhkSE55TWdzU0NrRjFkR2hEYkdsbGJuUVlnSURBdGZhcy1nb01DeElPVTNSaGRHbHZibEJ5YjJacGJHVVlnSURRdW9pQjVnZ01vZ0VFZW1WdWJ3L2ltYWdlLw.webp?u=Mon%20Jan%2001%2022:54:51%20UTC+0000%202024,https://radiorockfm.com.br/ztop
Rádio Galegóvski,Brasil • Português • Hard Rock,Brazil,Santa Catarina,"mpb,rock",https://radio.galegovski.com/live,https://galegovski.com/radiologo.png,https://radio.galegovski.com/
Fronteira FM 97.1,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"hits,pop,rock,sertanejo",https://sonicpanel.oficialserver.com/9992/stream,,https://radiofronteirafm.com.br/
"Metropolitana FM 97,7 Maceió",Brasil • Português • Hard Rock,Brazil,Alagoas,"pop rock popular,sertaneja",https://streaming.livespanel.com:8032/maceiofm,https://www.radios.com.br/aovivo/radio-metropolitana-977-fm/260824,https://maceiofm97-7.mobirisesite.com/
"Mix FM 98,3 Maceió",Brasil • Português • Hard Rock,Brazil,Alagoas,"jovem,pop rock",https://virtues.live:8184/stream,https://www.radios.com.br/aovivo/radio-mix-983-fm/13177,http://98fmmaceio.com.br/
Morena FM /Rio,Brasil • Português • Hard Rock,Brazil,RJ,"adult contemporary,brazilian music,classic rock,pop,rock",https://centova5.transmissaodigital.com:20005/stream,,https://www.morenafmrio.com/
MGT ROCK,Brasil • Português • Hard Rock,Brazil,Brasil,"mgt,rock",https://cast.mgtradio.net/radio/8090/aac,https://www.mgtradio.net/images/ouvir-radio-online.png,https://www.mgtradio.net/
Venenos Psicodélicos,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"60's,70's,psychedelic rock",https://stream.zeno.fm/c5bc53qc3k0uv,https://zeno.fm/favicon.ico,https://zeno.fm/venenospsicodelicos/
Rádio Estação Pop,Brasil • Português • Hard Rock,Brazil,MG,pop-rock,https://s46.maxcast.com.br:8026/live?1771884575757,https://img.radios.com.br/radio/lg/radio29801_1439401712.jpg,http://radioestacaopop.com/
Transamérica FM,Brasil • Português • Hard Rock,Brazil,,rock,http://9595.brasilstream.com.br/stream,,
Radio Amigos do Rock,Brasil • Português • Hard Rock,Brazil,SP,,http://stm25.srvaudio.com.br:11358/,https://www.wix.com/favicon.ico,https://leonelapantonellij.wixsite.com/website-2
Jovem Fm,Brasil • Português • Hard Rock,Brazil,Tocantins,"pop rock,popular",http://wz3.dnip.com.br/aycomau1/aycomau1.stream/playlist.m3u8,,http://redejovemfm.com.br/
94 Live (Divinópolis - MG),Brasil • Português • Hard Rock,Brazil,Minas Gerais,"hits,pop rock",https://94fm64aac.jmvstream.com/stream,https://ugc.production.linktr.ee/2QIV7DDhSoeAW2nYRLi2_ZPDNoICIM617u2RP?io=true&size=avatar-v3_0,https://linktr.ee/radio94live
"Jovem pan 95,9 FM",Brasil • Português • Hard Rock,Brazil,Recife,"jovem,pop rock",https://cast4.audiostream.com.br:20004/jp95,https://www.radios.com.br/aovivo/radio-jovem-pan-959-fm/24574,https://jovempan.com.br/afiliada/recife-fm
Antena 1 FM 91.3 MHz / Juiz de Fora - MG,Brasil • Português • Hard Rock,Brazil,Minas Gerais,"soft adult contemporary,soft rock",https://stream02.ouveai.com.br:7017/stream,https://a1media.antena1.com.br/image/album/400x400/default-antena1.jpg,https://www.antena1.com.br/
DinamicoFM,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,rock em geral,https://medicp.radiovinil.com.br:2020/stream/dinamicofm,,https://dinamicofm.com/
The Beatles - Discografia (MP3),Brasil • Português • Hard Rock,Brazil,,"classic rock,the beatles",http://stream.zeno.fm/qrt8wcezvtvvv,https://i.ibb.co/zhYdkhsH/image-1.webp,https://www.thebeatlesdiscografia.br/
"Mundo Livre FM Londrina 93,1",Brasil • Português • Hard Rock,Brazil,Parana,"londrina,rock",https://rrdns-continental.webnow.com.br/mllondrina.mp3,,https://mundolivrefm.com.br/
"Jovem pan 101,3 FM Maringá",Brasil • Português • Hard Rock,Brazil,Parana,"jovem,pop rock",https://shout35.crossradio.com.br:18040/stream,https://www.radios.com.br/aovivo/radio-jovem-pan-1013-fm/8801,https://jovempan.com.br/afiliada/maringa-fm
Radio Ativa Bom Despacho,Brasil • Português • Hard Rock,Brazil,Minas Gerais,"caipira,funk,international,mpb,pop,rock,sertaneja",http://148.72.158.239:8036/live,,http://www.radioativabdmg.com.br/
Montiel Rock,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"80s rock,aor,glam metal,hair metal,hard rock,heavy metal",https://radio.mntl.top/listen/montiel_rock/radio.mp3,https://azura.mntl.top/static/uploads/montiel_rock/album_art.1782413303.png,https://radio.mntl.top/
Rádio Educadora 91.7 FM,Brasil • Português • Hard Rock,Brazil,Sao Paulo,"dance,pop,pop/rock",https://stm22.xcast.com.br:11282/stream,https://img.radios.com.br/radio/lg/radio12843_1676385507.png,https://www.educadorafm.com.br/
União FM - Porto Alegre,Brasil • Português • Hard Rock,Brazil,Rio Grande do Sul,"mpb,news,pop,rock",https://stream.ouveai.com.br/proxy/uniaonh?mp=/stream,https://www.uniaofm.com.br/wp-content/themes/radiouniaotheme/favicon/favicon-128.png,https://www.uniaofm.com.br/
Radio Maquina no Rock,Brasil • Português • Hard Rock,Brazil,,rock,https://servidor20-4.brlogic.com:8582/live,,https://maquinarock.webradiosite.com/
Rádio Music Hall,Brasil • Português • Hard Rock,Brazil,São Paulo,"flashback,pop-rock",http://server02.ouvir.radio.br:8050/stream,https://img.radios.com.br/radio/lg/radio34072_1446728798.jpg,http://radios.gratis/
VINTAGE ROCK,Brasil • Português • Hard Rock,Brazil,Sao Paulo (Brazil),rock,https://servidor29.brlogic.com:7004/live,"https://static.wixstatic.com/media/968b35_8abc350821884ad6b3b35e24cd6839b2~mv2.png/v1/fill/w_600,h_337,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/1.png",https://www.sistemavintage.com/
Jovem Pan FM - Salvador - BA - 91.3,Brasil • Português • Hard Rock,Brazil,Bahia,"contemporary hits radio,jovem,jovem pan,pop,pop rock,top 40","https://shout25.crossradio.com.br:18022/1,%20https://shout25.crossradio.com.br:18022/1",https://jpimg.com.br/uploads/2022/12/afiliadas-salvador-500x500.jpg,https://jovempan.com.br/afiliada/salvador-fm
Rádio I Love anos 80's,Brasil • Português • Hard Rock,Brazil,Porto Alegre ,"alternative rock,anos 80,romantic",https://shit-is-merda.stream.laut.fm/shit-is-merda,https://uploaddeimagens.com.br/images/004/753/770/thumb/apple-touch-icon.png,https://radioiloveanos80.blogspot.com/
Rádio Geografia Rock,Brasil • Português • Hard Rock,Brazil,,classic rock,https://servidor20.brlogic.com:7354/live,https://public-rf-upload.minhawebradio.net/204992/mobileicon/e69ece1be41091c923d068b4f309176bx192.png,https://geografiarock.webradiosite.com/
