name,category,country,city,genre,stream_url,logo_url,source_url,language,countrycode,stationuuid
Rádio Metropolitana 98.5 FM Pop,Brasil • Português • Pop,Brazil,São Paulo,Pop,https://ice.fabricahost.com.br/metrosppop,https://metropolitanafm.com.br/wp-content/themes/metro/assets/imgs/favicon/favicon-96x96-2.png,https://metropolitanafm.com.br/,Português,BR,644f8c79-4b7f-4c22-9f5f-4152525d4e30
GFM Salvador Bahia FM 90.1,Brasil • Português • Pop,Brazil,Bahia,"adult contemporary,brazilian music,classic hits",https://ice.fabricahost.com.br/radiogfm,https://cdn-profiles.tunein.com/s5998/images/logod.png,https://mytuner-radio.com/pt/radio/gfm-salvador-402269/,Português,BR,2c3bf58f-fd12-4e93-bcde-4d7f1899faf1
Conecta FM - Campinas,Brasil • Português • Pop,Brazil,,pop music,https://paineldj6.com.br:20175/stream,https://static.tudoradio.com/ins/w:120/plain/https://tudoradio.com/img/uploads/radios/652af48300568.pn,https://fmconecta.com.br/,Português,BR,a29e978a-de77-43ca-a551-6f7f92d9d52e
Rádio Cidade,Brasil • Português • Pop,Brazil,Rio de Janeiro,"brazilian music,contemporary,pop,rock",http://playerservices.streamtheworld.com/api/livestream-redirect/RADIOCIDADEAAC.aac,https://radiocidade.fm/favicon.ico,https://radiocidade.fm/,Português,BR,9ab23180-17de-11e8-ae97-52543be04c81
Super Hits 94,Brasil • Português • Pop,Brazil,,Pop,https://s03.svrdedicado.org:6858/stream,,https://player.svrdedicado.org/one-page/6858,Português,BR,66ca6d0b-6a6a-4e79-a327-b21f9684e87c
96 FM Maceió,Brasil • Português • Pop,Brazil,Alagoas,"eclética,hits,popular",https://streaming.livespanel.com:20096/radio96fm,https://www.radios.com.br/aovivo/radio-96-maceio-fm/18335,https://96noticias.com.br/,Português,BR,3533ed9c-d371-4202-91a5-ab77aa600492
"Jovem pan 100,7 FM Maceió",Brasil • Português • Pop,Brazil,Alagoas,"jovem,top 40",https://directradios.net/proxy/jpmaceio?mp=/stream,https://www.radios.com.br/aovivo/radio-jovem-pan-1007-fm/18359,https://jovempan.com.br/afiliada/maceio-fm,Português,BR,d27508c7-9b6b-4eba-812a-09a94143f68a
100e7,Brasil • Português • Pop,Brazil,Rio Grande do Sul,pop,https://radio.saopaulo01.com.br:10919/live,https://100e7.com.br/images/favicon.png,https://100e7.com.br/,Português,BR,b0a0928e-8c32-4cab-9ba0-384e7f27c6fc
"LEMIXX - BEST FUNK & GROOVE CLASSICS & RARE DISCO, R&B, 80s OLD SCHOOL DANCE",Brasil • Português • Pop,Brazil,,"funk,groove,old school dance,rare disco",http://centova6.ciclanohost.com.br:9428/stream2,https://www.facebook.com/photo/?fbid=212694897771018&set=a.212694874437687,https://www.facebook.com/people/-LEMIXX-Best-Funk-Groove-Radio-/100070915262093/,Português,BR,338e0d0b-fdd5-46d4-b6ac-19913fb28ac5
Rádio Colméia 98.7 FM,Brasil • Português • Pop,Brazil,MG,"católica,popular",https://stm04.virtualcast.com.br:8024/colmeiamaringa?1771884660703,,http://www.colmeiafm.com.br/,Português,BR,2cb027f5-0a85-47fe-924f-d67e5d06ac97
Rádio Arapuan 98.9 FM,Brasil • Português • Pop,Brazil,Paraiba,"eclética,hits",https://streaming.engelhosting.com.br:10036/stream,https://www.arapuanfm.com.br/2023/images/site/logo.png,https://www.arapuanfm.com.br/2023/,Português,BR,823e517b-82e0-447c-a8ca-2f6454e9d852
Rádio Disney 91.3 FM,Brasil • Português • Pop,Brazil,Sao Paulo (Brazil),"jovem,pop rock,sertanejo",https://playerservices.streamtheworld.com/api/livestream-redirect/DISNEY_BRA_SP.mp3,https://images.app.goo.gl/fNFY7gv7C3w9dwtWA,http://www.disney.com.br/radio/,Português,BR,b30a4855-02c0-4fbf-95db-fde57d0fc06a
Rádio Sociedade News FM 102.1 Feira de Santana,Brasil • Português • Pop,Brazil,Bahia,"news,pop",https://stream.zenolive.com/t799cry0yv8uv,https://cdn.onlineradiobox.com/img/l/1/43031.v6.png,http://sociedadenewsfm.com.br/,Português,BR,92d364fc-2bbe-48af-b0a5-847af1b0a1ec
RADIO520,Brasil • Português • Pop,Brazil,,"classic rock,country pop,dance music,pop rock,sports news",https://stm7.xcast.com.br:9182/index,,https://www.radio520.com.br/,Português,BR,68fcf01b-98ad-4fc4-8deb-be5c4a341f40
BailãoHits,Brasil • Português • Pop,Brazil,Sao Paulo (Brazil),Pop,https://jpradios.com.br/stream/bailaohits,,https://jpradios.com.br/public/bailaohits,Português,BR,89872966-301c-4d2f-8e2a-5d5935fddc7e
Jovem Pan Florianópolis,Brasil • Português • Pop,Brazil,Santa Catarina,"hits,international,local music,music,world music",http://wz5.dnip.com.br/jfloripa/jfloripa.stream/chunklist_w2047482307.m3u8,,http://panfloripa.com.br/,Português,BR,d7b33eb9-6692-402e-8abb-85105b57030e
Rádio FM O Dia 99.7 FM,Brasil • Português • Pop,Brazil,Rio de Janeiro,"popular,samba pagode",https://wz7.servidoresbrasil.com:8274/stream,https://img.radios.com.br/radio/lg/radio229211_1706128532.jpeg,https://macae.fmodia.com.br/,Português,BR,4317dca3-9e67-4226-82a8-8f650ba50219
Pool FM,Brasil • Português • Pop,Brazil,,"1970s,1980s,70s,70s dance,70s disco,80s,80s dance,80s disco,dance,funk,pool beach bar,poolside,rare groove",https://radios.poolwebwork.com.br/8010/stream,https://www.poolfm.com.br/wp-content/uploads/2017/01/pool-fm_600x600.png,https://www.poolfm.com.br/,Português,BR,3b097aaa-6f7b-44bf-b9d4-17990a5603a7
107 FM Tatuí,Brasil • Português • Pop,Brazil,Sao Paulo,"local news,news,noticias,pop,rock",https://f108.fabricahost.com.br/107fm?f=1768440014N01KEZKTA1M1TPDQW0KTF63Z481&tid=01KEZKTA1MJQM48EZ7NP81GYVW,"https://static.wixstatic.com/media/37804f_ed9032a0826e40efa33fefcbf9fb882b~mv2.png/v1/fill/w_141,h_237,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo.png",https://www.107fm.net/,Português,BR,4dbf247c-52c0-44e8-bf5f-f9803f401fbd
ELEKTRA RADIO,Brasil • Português • Pop,Brazil,Rio de Janeiro,"'synthpop',breaks,electro,freestyle,indie rock,miami bass,new retro wave",https://cast3.hoost.com.br:8952/stream,https://www.elektraradio.com/files/2026/01/logo_elektra_raio_03_mini-1.png,https://www.elektraradio.com/,Português,BR,6c6187ff-4866-47d0-a340-38967e9dc237
SpaceSex 93.1,Brasil • Português • Pop,Brazil,Espírito Santo,"eletronic,flashback,música pop",https://8846.brasilstream.com.br/stream,https://hfnews.com.br/wp-content/uploads/2026/02/Untitled-1.png,https://hfnews.com.br/spacesex/,Português,BR,31fa0dbf-da4b-4b5b-b5e1-dd4f76723c2f
80 fm dance music,Brasil • Português • Pop,Brazil,São Paulo,Pop,https://servidor26.brlogic.com:7006/live,,https://www.80fmdancemusic.com.br/,Português,BR,76f60a9f-3112-4df3-9b46-5c66baaa4bd7
Nova Onda FM,Brasil • Português • Pop,Brazil,São Paulo,"music,oldies,pop music,pop rock",https://ice.fabricahost.com.br/novaondafm,https://novaondafm.com.br/wp-content/uploads/2023/04/Nova-Onda-logo-colorido-300x169.png,https://novaondafm.com.br/,Português,BR,3f77f2e9-4ea5-4e15-a146-cf90ed50a42f
Jovem Pan FM - Brasília - DF - 106.3,Brasil • Português • Pop,Brazil,Distrito Federal,"contemporary hits radio,jovem,jovem pan,pop,pop rock,top 40",https://shout25.crossradio.com.br:18022/1,https://jpimg.com.br/uploads/2022/12/afiliadas-brasilia-106.3-500x500.jpg,https://jovempan.com.br/afiliada/brasilia-fm,Português,BR,77c0088f-9ae7-4bd3-a1de-edfc17f5ce86
MGT DANCE HITS,Brasil • Português • Pop,Brazil,Brasil,dance hits,https://cast.mgtradio.net/radio/8080/aac,,https://www.mgtradio.net/,Português,BR,41d2ec6f-0179-410f-a508-cf414a1b8946
EldoPop FM,Brasil • Português • Pop,Brazil,Rio de Janeiro,"hard rock,progressive rock",http://stm10.srvstm.com:34794/stream,http://eldopopfm.com/admin/assets/img/favicon.jpg,http://eldopopfm.com/,Português,BR,548d3232-fd53-4942-933b-38e9ddb4bcb3
Rádio Ziggy - MIX (MP3),Brasil • Português • Pop,Brazil,Minas Gerais,"brazilian music,pop",http://stream.zeno.fm/h0bbyx9fzs8uv,https://i.ibb.co/xK4z5ZLr/80505-v11.png,https://ziggywebradio.wixsite.com/radioziggy,Português,BR,605b1ff1-b913-4dc6-8979-a7d2cc8f9012
Rádio Escola de Rádio,Brasil • Português • Pop,Brazil,Rio de Janeiro,"brazilian music,mpb,music school,pop,rio de janeiro,rock",https://radio.escoladeradio.com.br/listen/radio_er/radio.mp3,https://www.escoladeradio.com.br/radio-icon-512.png,https://www.escoladeradio.com.br/radio,Português,BR,26ff6924-856b-489c-970c-c90dd361c8f1
Ipe,Brasil • Português • Pop,Brazil,Brasília,"death metal,doujin,edm,idm,jpop,metal,symphonic metal",http://152.53.178.148:6670/,,https://0x45.pw/,Português,BR,d8b9886e-dcda-4122-9a71-d4e9c5bd7df3
Rádio Hits 106.9 FM,Brasil • Português • Pop,Brazil,RJ,"adulta,flashback,mpb",https://wz7.servidoresbrasil.com:9984/stream?1771864365030,https://img.radios.com.br/radio/lg/radio80135_1691636703.png,https://redehits.fm/,Português,BR,a24e7acf-71f2-478e-8d33-61201a901eea
Rádio CBN Vale 750 AM,Brasil • Português • Pop,Brazil,Sao Paulo,"journalism,popular",https://8018.brasilstream.com.br/stream,https://img.radios.com.br/radio/lg/radio14459_1605727774.png,https://www.cbnvale.com.br/,Português,BR,bbd8df92-6a8d-476b-b611-cf65ae1e5169
Rádio Pirafm,Brasil • Português • Pop,Brazil,,pop,http://stream.zeno.fm/zyvh88ftvxhvv,,https://sites.google.com/view/radio-pirafm/in%C3%ADcio,Português,BR,b3dfb268-c282-4a67-a2e3-8b6f03711d57
Positividade FM,Brasil • Português • Pop,Brazil,Rio de Janeiro,"adult contemporary,música pop,pop",https://27573.live.streamtheworld.com/POSITIVIDADE_FM_SC,https://positividade.fm/wp-content/uploads/2022/04/positividade-fm.png,https://positividade.fm/,Português,BR,ca7d9a61-eb28-49bc-99ba-5a140869919c
"Francês FM 106,1 Maceió",Brasil • Português • Pop,Brazil,Alagoas,"eclética,popular",https://26643.live.streamtheworld.com/FRANCESFM_MACAAC.aac?dist=RadiosNet,https://www.radios.com.br/aovivo/radio-frances-1061-fm/214571,https://francesfm.com/,Português,BR,ef15c12d-fc7a-4559-852c-cdcc997f7b15
"Gazeta FM 94,1 Maceió",Brasil • Português • Pop,Brazil,Alagoas,"eclética,popular",https://www.appradio.app:8061/stream,https://www.radios.com.br/aovivo/radio-gazeta-941-fm/13291,http://www.gazetafmmaceio.com.br/,Português,BR,e7b6a268-2c4e-42c9-8556-f03a9349220e
Ilha do Mel FM,Brasil • Português • Pop,Brazil,Paraná(Brazil),"local news,pop,sports",https://str1.streamhostpg.com.br:8002/stream,https://ilhadomelfm.com.br/wp-content/uploads/2023/05/cropped-icon-ilhadomel-32x32.jpg,https://ilhadomelfm.com.br/,Português,BR,91b43e8e-5a05-45b6-a43e-f2a9b739efea
Rádio Gospel Hits,Brasil • Português • Pop,Brazil,,Pop,https://servidor37.brlogic.com:7068/live,https://public-rf-upload.minhawebradio.net/248007/mobileicon/a279add08d24de644960ffdbfbaa688bx192.png,https://radiogospelhits.com.br/,Português,BR,857ea54d-534c-41c1-b361-a3b016a50664
Radio Nova Brasil,Brasil • Português • Pop,Brazil,,pop,http://r11.ciclano.io:9134/stream,,https://novabrasilfm.com.br/,Português,BR,8dcf2830-5f28-4369-8ddd-6eb41c519386
Jovem Pan FM - Passo Fundo - RS,Brasil • Português • Pop,Brazil,Rio Grande do Sul,"80s,90s,music,pop",https://radio.saopaulo01.com.br:10937/aac,,https://jovempan.com.br/afiliada/passo-fundo-fm,Português,BR,f71c6531-1af4-4886-8ce8-533f7daa90a5
Educadora FM Campinas 91.7,Brasil • Português • Pop,Brazil,Sao Paulo (Brazil),"pop,talk show",https://stm22.xcast.com.br:11282/stream,,https://www.educadorafm.com.br/index.html,Português,BR,24e1cc35-e8bb-4eef-9cf4-56227e8e17e8
Fan FM Aracaju,Brasil • Português • Pop,Brazil,SE,"mpb,pop,rock",http://08.stmip.net:7114/,https://redefanfm.com.br/wp-content/uploads/2023/07/favicon.jpg,https://redefanfm.com.br/,Português,BR,ed0b45a6-bd8f-4a31-8fe2-d13bfe4983d7
Tupancy AM Pelotas,Brasil • Português • Pop,Brazil,Rio Grande do Sul,"esportes futebol,musica popular,notícias",https://casthttps.suaradionanet.net/10024/stream,https://manager.suaradionanet.net/storage/radios/tupanci/site_basic/66d8e4c5684da4.79620513.png,https://radiotupanci.com.br/,Português,BR,d9939788-2129-468d-af64-ac2db3704085
Rádio Liderança FM,Brasil • Português • Pop,Brazil,Fortaleza,"good news | good sound | good life,pop",https://webradio.amsolution.com.br/radio/8320/lideranca,http://radiolideranca.com.br/wp-content/uploads/2017/05/lideranca-350x100.png,https://radiolideranca.com.br/,Português,BR,2d5168a3-7e43-483c-9522-9d0989ddc3a8
Nova Brasil FM 93.5 Aracaju,Brasil • Português • Pop,Brazil,Sergipe,"aracaju,brazilian pop,mpb",http://27393.live.streamtheworld.com/NOVABRASIL_ARACAJUAAC_SC,,http://aracaju.novabrasilfm.com.br/,Português,BR,b8cb31b3-5a4b-11e9-a622-52543be04c81
Rádio Comunitária Aconchego,Brasil • Português • Pop,Brazil,Pernambuco,"autonomia, tecnologica,comunitaria,engenho do meio,livre,popular,recife,roda de fogo,saúde integral,serviço integrado de saúde,sitio das palmeiras,torrões",https://fm.radioaconchego.org,https://radioaconchego.org/files/2015/03/cropped-cropped-5617042203_961643d1a0_o-180x180.jpg,https://radioaconchego.org/,Português,BR,f4e01db7-ffe6-11e9-bbf2-52543be04c81
"Rádio Capital do Papel 101,9 FM",Brasil • Português • Pop,Brazil,PR,"pop music,sertanejo,sertanejo raiz",https://5a57bda70564a.streamlock.net/capitaldopapelpr/capitaldopapelpr.stream/playlist.m3u8,https://www.radiocapitaldopapel.com.br/imagens/logo.png,https://www.radiocapitaldopapel.com.br/,Português,BR,a47805d9-6f2b-494a-b786-ca1b1dee012e
"Jovem pan 107,5 FM Belém",Brasil • Português • Pop,Brazil,Pará,"jovem,pop rock,top 40",https://radio01.zas.media/8038/stream,https://www.radios.com.br/aovivo/radio-jovem-pan-1075-fm/266119,https://jovempan.com.br/afiliada/belem-fm#,Português,BR,e22a9daa-8f48-4950-9c59-bda4356abe86
Rádio Água Azul,Brasil • Português • Pop,Brazil,PA,"cristã,ecletica,gospel,popular",https://stm4.srvif.com:8460/stream,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg8Mf0pTyn0csGWmRnTNBIiN8hFYhkcefiB5wEZrW5AOxC-YJrlDyWRlHo9bZWF8atKWH5q54Hg3VMJkR1xaFvJRxt19DKlchSnbdYhywCsFpqUe5nHHkAkDbjaymm6jmVU-AJ3fp5MbIqVemnbxahRJcsuQHHC15w12UIS8eST2h2RLwuzSj8I-NYftys/s320/grok-image-b75974a7-7f23-42e6-a1d5-61b6e90790d1.png,https://radioaguaazul.com.br/,Português,BR,9779d460-48a5-440b-8adf-aca1aec9b008
MGT BRASIL HITS,Brasil • Português • Pop,Brazil,Brasil,"brasil,hits,mgt,nacionais,sucessos",https://cast.mgtradio.net/radio/8030/aac,https://www.mgtradio.net/favicon.ico,https://www.mgtradio.net/,Português,BR,bfcdd1a3-5e7f-4b26-ac78-3717a48f51f5
"Nova Brasil FM Brasília, DF (ZYC476, 97,5 MHz)",Brasil • Português • Pop,Brazil,Distrito Federal,"brasilia,brazilian music,brazilian pop,mpb",http://27393.live.streamtheworld.com/NOVABRASIL_BSBAAC_SC,http://brasilia.novabrasilfm.com.br/images/apple-touch-icon.png?1725267621,http://brasilia.novabrasilfm.com.br/,Português,BR,964704f6-0601-11e8-ae97-52543be04c81
Jovem Pan FM Campinas - 89.9,Brasil • Português • Pop,Brazil,Sao Paulo (Brazil),"pop,rock",https://paineldj5.com.br:20028/stream,,https://jovempan.com.br/afiliada/campinas-fm,Português,BR,3dcc5ceb-7bb4-4bf4-9270-4a6ee5c18a79
Rádio Ziggy - MPB (MP3),Brasil • Português • Pop,Brazil,Minas Gerais,"brazilian music,pop",http://stream.zeno.fm/g5xt330zkd0uv,https://i.ibb.co/yFSBcW2p/85253-v3.png,https://ziggywebradio.wixsite.com/radioziggy,Português,BR,94050e87-1c05-4eaa-bab4-8744c7260b02
